iter	Passed	Remaining
987	34124	311260
988	34167	311303
989	34200	311259
990	34245	311318
991	34279	311284
992	34318	311284
993	34352	311241
994	34392	311264
995	34431	311264
996	34464	311219
997	34501	311207
998	34537	311179
999	34572	311153
1000	34608	311128
1001	34643	311097
1002	34739	311611
1003	34774	311588
1004	34807	311537
1005	34844	311524
1006	34879	311494
1007	34914	311459
1008	34950	311434
1009	34983	311386
1010	35016	311335
1011	35053	311325
1012	35089	311298
1013	35121	311245
1014	35164	311285
1015	35198	311240
1016	35235	311226
1017	35265	311155
1018	35295	311077
1019	35326	311009
1020	35365	311017
1021	35395	310937
1022	35428	310888
1023	35475	310967
1024	35514	310966
1025	35546	310912
1026	35579	310862
1027	35615	310838
1028	35652	310828
1029	35694	310854
1030	35738	310899
1031	35868	311697
1032	35899	311629
1033	35934	311594
1034	35965	311526
1035	35996	311461
1036	36028	311398
1037	36059	311330
1038	36087	311239
1039	36119	311183
1040	36150	311120
1041	36180	311042
1042	36211	310974
1043	36242	310908
1044	36275	310858
1045	36308	310812
1046	36343	310773
1047	36373	310698
1048	36405	310645
1049	36434	310560
1050	36465	310492
1051	36494	310411
1052	36525	310346
1053	36557	310286
1054	36589	310230
1055	36620	310162
1056	36653	310113
1057	36684	310052
1058	36715	309985
1059	36748	309939
1060	36779	309871
1061	36813	309831
1062	36848	309797
1063	36954	310364
1064	36988	310321
1065	37020	310261
1066	37053	310215
1067	37090	310194
1068	37127	310186
1069	37161	310145
1070	37197	310121
1071	37234	310099
1072	37270	310077
1073	37313	310112
1074	37355	310134
1075	37386	310073
1076	37419	310026
1077	37449	309950
1078	37482	309903
1079	37517	309863
1080	37550	309817
1081	37584	309775
1082	37619	309741
1083	37654	309715
1084	37685	309647
1085	37721	309618
1086	37754	309570
1087	37789	309541
1088	37821	309483
1089	37855	309446
1090	37886	309381
1091	37918	309320
1092	38022	309849
1093	38057	309820
1094	38091	309777
1095	38124	309723
1096	38157	309678
1097	38192	309644
1098	38227	309610
1099	38257	309538
1100	38288	309471
1101	38319	309407
1102	38351	309353
1103	38388	309335
1104	38418	309260
1105	38454	309235
1106	38494	309238
1107	38551	309384
1108	38580	309308
1109	38613	309255
1110	38640	309160
1111	38669	309078
1112	38698	308995
1113	38727	308916
1114	38759	308857
1115	38790	308795
1116	38818	308709
1117	38849	308643
1118	38881	308585
1119	38912	308517
1120	38944	308464
1121	38977	308412
1122	39008	308350
