iter	Logloss	Accuracy
742	0.3860363381	0.9109375
743	0.385708093	0.9109375
744	0.3855547453	0.9125
745	0.3851281958	0.909375
746	0.3848594455	0.909375
747	0.3846496189	0.9140625
748	0.384273631	0.9140625
749	0.3839266751	0.9140625
750	0.3836426475	0.915625
751	0.3834340354	0.915625
752	0.3831307212	0.915625
753	0.3828606552	0.9140625
754	0.3826444498	0.9140625
755	0.3823854284	0.9140625
756	0.3822294973	0.9125
757	0.3819133	0.915625
758	0.3815536921	0.9140625
759	0.3812515265	0.9140625
760	0.3809882849	0.9140625
761	0.3807971283	0.9140625
762	0.3805655575	0.9140625
763	0.3803247311	0.9140625
764	0.379857467	0.9140625
765	0.3793495371	0.915625
766	0.3790589684	0.915625
767	0.3787632785	0.915625
768	0.3785524323	0.915625
769	0.3784125638	0.9140625
770	0.3783122099	0.915625
771	0.378008201	0.9156257772	0.3778606342	0.915773	773	0.377519843	0.774	0.3774	0.3772034051	0.9775	0.775	0.3770971915	0.9776	0.776	0.376829317	0.917777	0777	0.3765584199	0.917778	0778	0.3763727483	0.917779	0779	0.3758941463	0.918780780	0.3756574027	0.92031781781	0.3753152216	0.918782782	0.3749029163	0.918757783	0.374609234	0.92031257784	0.3742252291	0.92031278785	0.3740601043	0.918757786	0.3738228441	0.92031278787	0.3734348333	0.921788	788	0.3731972332	0.9218789789	0.3729299021	0.9218779790	0.3727632149	0.9218757791	0.3724753441	0.921875
792	0.3720393232	0.921875
793	0.3718797883	0.921875
794	0.3717289816	0.921875
795	0.3714519258	0.925
796	0.3711112726	0.925
797	0.3709708278	0.925
798	0.3705665558	0.9234375
799	0.370232874	0.925
800	0.3698589579	0.9234375
801	0.3697395903	0.9234375
802	0.3694255155	0.925
803	0.3692472934	0.9265625
804	0.3688855516	0.9265625
805	0.3685206157	0.928125
806	0.3683250752	0.9296875
807	0.3680528258	0.928125
808	0.3677849786	0.9296875
809	0.3674984287	0.9296875
810	0.3671969545	0.9296875
811	0.3667285265	0.9296875
812	0.3663399878	0.93125
813	0.3661248146	0.93125
814	0.365788275	0.93125
815	0.3654535024	0.9296875
816	0.365009219	0.93125
817	0.364805229	0.93125
818	0.3645690757	0.93125
819	0.3642614109	0.9328125
820	0.3640958073	0.9328125
821	0.3638702532	0.9328125
822	0.3634042322	0.9328125
823	0.3630174241	0.9328125
824	0.3627331156	0.9328125
825	0.3623200767	0.9328125
826	0.3619776616	0.9359375
827	0.3617794362	0.9359375
828	0.3615051731	0.9359375
829	0.36117054	0.9359375
830	0.360712269	0.9359375
831	0.3603803001	0.9359375
832	0.3599539417	0.9359375
833	0.3597921302	0.9359375
834	0.3595042544	0.9359375
835	0.3591105442	0.9359375
836	0.3589439012	0.9359375
837	0.3588618017	0.9359375
838	0.3585073167	0.9359375
839	0.3581267877	0.9359375
840	0.3578626091	0.9375
841	0.357597686	0.9375
842	0.3572956297	0.9375
843	0.3569102462	0.9375
844	0.3566220648	0.9375
845	0.3563192961	0.9375
846	0.3561576936	0.9375
847	0.3558624195	0.9375
848	0.3554692868	0.9359375
849	0.3551484093	0.9359375
850	0.3547897653	0.9359375
851	0.3542430155	0.9359375
852	0.3539884831	0.9359375
853	0.3538221629	0.9359375
854	0.3535033619	0.9375
855	0.3530842015	0.9390625
856	0.3529154432	0.9390625
857	0.3527389572	0.9390625
858	0.3526635819	0.9390625
859	0.3523148252	0.9390625
860	0.3522155258	0.9390625
861	0.3519863093	0.9390625
862	0.3517948517	0.9390625
863	0.3513535357	0.9390625
864	0.3510914495	0.9390625
865	0.350922166	0.9375
866	0.3505468146	0.9375
867	0.3503652047	0.9390625
868	0.3500022157	0.9390625
869	0.3497606468	0.9390625
870	0.3494875679	0.9390625
871	0.3493342389	0.9390625
872	0.3489842951	0.940625
873	0.3486894753	0.94375
874	0.3484348701	0.94375
875	0.348214697	0.94375
876	0.3480051648	0.94375
877	0.3476742874	0.94375
878	0.3470319347	0.94375
879	0.3468179861	0.94375
880	0.3466217955	0.9453125
881	0.3464470346	0.94375
882	0.3463127165	0.94375
883	0.3460020645	0.94375
884	0.345858172	0.9453125
885	0.3455133925	0.94375
886	0.3451818095	0.94375
887	0.3450597815	0.94375
888	0.344813186	0.94375
889	0.3445426271	0.946875
890	0.3441759754	0.946875
891	0.3438732126	0.9484375
892	0.3437289863	0.946875
893	0.3432674245	0.946875
894	0.3431276243	0.946875
895	0.3428615617	0.946875
896	0.3423821256	0.946875
897	0.3420374186	0.946875
898	0.3417100635	0.946875
899	0.3413922423	0.946875
900	0.3411767356	0.946875
901	0.3408941426	0.9484375
902	0.340515987	0.9484375
903	0.3400758579	0.9484375
904	0.3397513044	0.946875
905	0.3394666872	0.946875
906	0.3391300131	0.946875
907	0.3388078914	0.9484907	908	0.3385262507	0908	0.33909	0.33832896909	0.338910910	0.33787086910	0911	0.3911	0.337644579912	0.33236912	0.33719913	0.3322031646913	0.914	0.3318317622	0.959915	0.3315555299	0.95156291916	0.3310947517	0.9916	0.3917	0.3307845905	0.9917	0.3918	0.3304569911	0.918	0.33919	0.3302423371	0919	0.334920	0.3298924543	920	0.3348921	0.3295157737	921	0.3344922	0.329331869	0922	0.334923	0.329046033	0.923	0.3924	0.328645761	0.9924	0.3925	0.3283253686	0.925	0.926	0.3281846112	0.9926	0927	0.3279402548	0.956927928	0.3276072931	0.95468928929	0.3271882011	0.9546929	930	0.3267868225	0.954930	0931	0.3264920448	0.95931	0.932	0.3262030876	0.9932	0.3933	0.3258801625	0.9933	0934	0.3256378281	0.954934	0935	0.325537848	0.9546935	936	0.3251884439	0.9546936	937	0.3248511279	0.954937	0938	0.324636645	0.956293939	0.3243696806	0.95625
940	0.3241811762	0.95625
941	0.3239144582	0.95625
942	0.3237486708	0.95625
943	0.3234742346	0.95625
944	0.3231190706	0.95625
945	0.322903176	0.95625
946	0.3225655215	0.95625
947	0.3222288367	0.95625
948	0.3219438171	0.95625
949	0.3216667284	0.95625
950	0.3214243508	0.95625
951	0.321087516	0.95625
952	0.3207658281	0.95625
953	0.3202960704	0.95625
954	0.3199612642	0.95625
955	0.3197205141	0.95625
956	0.3195402665	0.95625
957	0.3191920668	0.95625
958	0.3188016797	0.95625
959	0.3183886802	0.95625
960	0.3181415916	0.95625
961	0.3178489745	0.95625
962	0.3175992157	0.95625
963	0.3173419297	0.95625
964	0.3170463885	0.95625
965	0.3166414129	0.95625
966	0.3163168042	0.95625
967	0.3159191708	0.95625
968	0.3155896451	0.95625
969	0.3152482761	0.95625
970	0.315013808	0.95625
971	0.3147985187	0.95625
972	0.3146232926	0.95625
973	0.3142630887	0.95625
974	0.3138152373	0.95625
975	0.3135669898	0.95625
976	0.313274308	0.9578125
977	0.3129300212	0.9578125
978	0.3126660921	0.9578125
979	0.3122968809	0.9578125
980	0.3118927861	0.9578125
